,col,,
539,6740.7435,,
540,6871.719,,
541,6896.914,,
542,6663.203,,
543,6709.6085,,
544,6439.9735,,
545,6532.439,,
546,6659.399,,
547,6264.315,,
548,5872.314,,
549,5765.566,,
550,5627.846,,
551,5610.144,,
552,5326.79,,
553,5224.9075,,
554,5251.9915,,
555,5879.175,,
556,5781.1675,,
557,6049.8405,,
558,6223.6285,,
559,7107.107,,
560,7267.422,,
561,7502.4895,,
562,7334.9255,,
563,7074.439,,
564,7046.8055,,
565,7433.3295,,
566,7574.7325,,
567,7325.885,,
568,6976.1985,,
569,6680.223,,
570,6191.9665,,
571,6199.017,,
572,5979.012,,
573,5940.3875,,
574,5878.491,,
575,5759.41,,
576,5790.25,,
577,5745.3355,,
578,5440.2825,,
579,5180.3945,,
580,5038.104,,
581,4869.804,,
582,4579.501,,
583,4456.7705,,
584,4143.768,,
585,3907.138,,
586,3722.0255,,
587,3754.9375,,
588,3273.339,,
589,2771.116,,
590,2201.626,,
591,2076.926,,
592,1831.928,,
593,1710.431,,
594,1681.9775,,
595,1638.2685,,
596,1588.7425,,
597,1697.888,,
598,1730.9085,,
599,1797.758,,
600,1793.518,,
601,1838.664,,
602,1663.7395,,
603,1514.639,,
604,1565.335,,
605,1358.7395,,
606,1273.388,,
607,1083.9975,,
608,924.113,,
609,785.5985,,
610,622.178,,
611,561.3855,,
612,530.4515,,
613,580.1175,,
614,732.59,,
615,941.1865,,
616,1052.7175,,
617,1201.5135,,
618,1445.059,,
619,1781.811,,
620,2288.3415,,
621,2910.489,,
622,3483.0485,,
623,4065.0575,,
624,4201.624,,
625,4433.2285,,
626,4644.485,,
627,4725.8525,,
628,4803.41,,
629,5040.2355,,
630,5288.297,,
631,5464.091,,
632,5569.236,,
633,5767.7705,,
634,6064.265,,
635,6450.7715,,
636,6816.8385,,
637,6671.1175,,
638,6460.368,,
639,6287.6085,,
640,6353.7725,,
641,6603.7045,,
642,6871.36,,
643,6693.488,,
644,6430.9465,,
645,6174.2255,,
646,5714.353,,
647,5302.6455,,
648,5114.93,,
649,5018.421,,
650,4876.4205,,
651,4867.198,,
652,5079.6035,,
653,4998.554,,
654,5187.028,,
655,5535.25,,
656,5537.7175,,
657,5686.935,,
658,6016.4265,,
659,6243.2595,,
660,6397.6205,,
661,6492.1355,,
662,6447.2625,,
663,6317.62,,
664,6227.0885,,
665,6333.9155,,
666,6404.586,,
667,6456.8615,,
668,6517.833,,
669,6223.436,,
670,5854.667,,
671,5681.286,,
672,5706.0925,,
673,5640.168,,
674,5682.5675,,
675,5808.0145,,
676,5576.398,,
677,5461.5415,,
678,5510.107,,
679,5436.4605,,
680,5241.017,,
681,3399.844,,
682,5114.05,,
683,5456.758,,
684,5771.686,,
685,5746.4755,,
686,5504.181,,
687,5209.7135,,
688,4658.3505,,
689,4338.3447,,
690,4026.0523,,
691,3846.1635,,
692,3687.255,,
693,3474.413,,
694,3270.174,,
695,3202.73,,
696,3125.7885,,
697,3092.9635,,
698,3145.0585,,
699,3127.049,,
700,3023.0005,,
701,3218.032,,
702,3505.042,,
703,3615.5685,,
704,3556.6605,,
705,3632.438,,
706,3881.6735,,
707,4123.3175,,
708,4320.7775,,
709,4346.28,,
710,4402.7945,,
711,4353.6755,,
712,4535.113,,
713,4938.1025,,
714,5113.5865,,
715,5475.518,,
716,5236.4255,,
717,5055.7955,,
718,5167.2305,,
719,5270.8105,,
720,5156.0215,,
721,5201.809,,
722,5434.317,,
723,5595.461,,
724,5741.554,,
725,5630.443,,
726,5604.012,,
727,5720.907,,
728,5749.713,,
