,col,,
929,5,,
930,2,,
931,0,,
932,0,,
933,0,,
934,0,,
935,0,,
936,0,,
937,0,,
938,0,,
939,0,,
940,0,,
941,0,,
942,1.5,,
943,6,,
944,415,,
945,1400,,
946,2500,,
947,3200,,
948,3555,,
949,3437,,
950,3095,,
951,1995,,
952,578,,
953,16.5,,
954,0.5,,
955,0.5,,
956,0,,
957,0,,
958,0,,
959,0,,
960,0,,
961,0,,
962,0,,
963,0,,
964,0,,
965,0,,
966,0,,
967,53,,
968,300.5,,
969,655.5,,
970,1019.5,,
971,1200,,
972,1185,,
973,734.75,,
974,875.5,,
975,438.5,,
976,81.5,,
977,0,,
978,0,,
979,0,,
980,0,,
981,0,,
982,0,,
983,0,,
984,0,,
985,0,,
986,0,,
987,0,,
988,0,,
989,0,,
990,0,,
991,63.5,,
992,1081.5,,
993,2740,,
994,3775,,
995,4195,,
996,4080,,
997,3551.5,,
998,2940,,
999,1685,,
1000,533,,
1001,27.5,,
1002,12,,
1003,0,,
1004,0,,
1005,0,,
1006,0,,
1007,0,,
1008,0,,
1009,0,,
1010,0,,
1011,0,,
1012,0,,
1013,0,,
1014,1.5,,
1015,78,,
1016,1278.5,,
1017,3040,,
1018,4525,,
1019,5265,,
1020,5205,,
1021,4310,,
1022,3355,,
1023,2150,,
1024,672.5,,
1025,6.5,,
1026,2,,
1027,1,,
1028,0,,
1029,0,,
1030,0,,
1031,0,,
1032,0,,
1033,0,,
1034,0,,
1035,0,,
1036,0,,
1037,0,,
1038,2.5,,
1039,20.5,,
1040,233,,
1041,598,,
1042,1031,,
1043,1465,,
1044,1765,,
1045,1713.5,,
1046,1825,,
1047,1555,,
1048,644.5,,
1049,11.5,,
1050,1,,
1051,0.5,,
1052,0,,
1053,0,,
1054,0,,
1055,0,,
1056,0,,
1057,0,,
1058,0,,
1059,0,,
1060,0,,
1061,0,,
1062,0,,
1063,71,,
1064,553.5,,
1065,1085,,
1066,1235,,
1067,1160,,
1068,998.5,,
1069,783,,
1070,481.5,,
1071,204,,
1072,34,,
1073,7,,
1074,3.5,,
1075,0,,
1076,0,,
1077,0,,
1078,0,,
1079,0,,
1080,0,,
1081,0,,
1082,0,,
1083,0,,
1084,0,,
1085,0,,
1086,0,,
1087,72.5,,
1088,1209.5,,
1089,2805,,
1090,4280,,
1091,5390,,
1092,5620,,
1093,5085,,
1094,4200,,
1095,2570,,
1096,903.5,,
1097,24,,
1098,9,,
1099,0,,
1100,0,,
1101,0,,
1102,0,,
1103,0,,
1104,0,,
1105,0,,
1106,0,,
1107,0,,
1108,0,,
1109,0,,
1110,1,,
1111,154,,
1112,1645,,
1113,3395,,
1114,4725,,
1115,5540,,
1116,5465,,
1117,5043,,
1118,3695,,
1119,1980,,
1120,545.5,,
1121,14.5,,
1122,3,,
1123,2,,
1124,0.5,,
1125,0,,
1126,0,,
1127,0,,
1128,0,,
1129,0,,
1130,0,,
1131,0,,
1132,0,,
1133,0,,
1134,1,,
1135,123.5,,
1136,897,,
1137,2080,,
1138,3360,,
1139,4240,,
1140,4495,,
1141,3950.5,,
1142,3350,,
1143,2160,,
1144,693,,
1145,21,,
1146,5.5,,
1147,0.5,,
1148,0,,
1149,0,,
1150,0,,
1151,0,,
1152,0,,
1153,0,,
1154,0,,
1155,0,,
1156,0,,
1157,0,,
1158,0.5,,
1159,75,,
1160,692.5,,
1161,1390,,
1162,2185,,
1163,2630,,
1164,2610,,
1165,2288,,
1166,1290,,
1167,674,,
1168,186,,
1169,4,,
1170,1,,
1171,0,,
1172,0,,
1173,0,,
1174,0,,
1175,0,,
1176,0,,
1177,0,,
1178,0,,
1179,0,,
1180,0,,
1181,0,,
1182,1.5,,
1183,6,,
1184,122.5,,
1185,393.5,,
1186,702.5,,
1187,1062,,
1188,1260,,
1189,1465,,
1190,970.5,,
1191,572.5,,
1192,210.5,,
1193,8.5,,
1194,0,,
1195,0,,
1196,0,,
1197,0,,
1198,0,,
1199,0,,
1200,0,,
1201,0,,
1202,0,,
1203,0,,
1204,0,,
1205,0,,
1206,0,,
1207,82.5,,
1208,998,,
1209,2190,,
1210,3160,,
1211,3795,,
1212,4370,,
1213,4536,,
1214,3480,,
1215,2240,,
1216,919,,
1217,60.5,,
1218,5,,
1219,1.5,,
1220,0,,
1221,0,,
1222,0,,
1223,0,,
1224,0,,
1225,0,,
1226,0,,
1227,0,,
1228,0,,
1229,0,,
1230,0.5,,
1231,114.5,,
1232,908.5,,
1233,1955,,
1234,2820,,
1235,3290,,
1236,3290,,
1237,3447,,
1238,2290,,
1239,1485,,
1240,586,,
1241,34,,
1242,4.5,,
1243,1,,
1244,0,,
1245,0,,
1246,0,,
1247,0,,
1248,0,,
1249,0,,
1250,0,,
1251,0,,
1252,0,,
1253,0,,
1254,1.5,,
1255,98.5,,
1256,888,,
1257,2000,,
1258,2695,,
1259,3250,,
1260,3690,,
1261,4104.5,,
1262,3290,,
1263,2405,,
1264,1005,,
1265,53,,
1266,1.5,,
1267,0,,
1268,0,,
1269,0,,
1270,0,,
1271,0,,
1272,0,,
1273,0,,
1274,0,,
1275,0,,
1276,0,,
1277,0,,
1278,1,,
1279,205.5,,
1280,1435,,
1281,2930,,
1282,4135,,
1283,4420,,
1284,4535,,
1285,4732.5,,
1286,3700,,
1287,2470,,
1288,1012.5,,
1289,58,,
1290,5.5,,
1291,3,,
1292,0,,
1293,0,,
1294,0,,
1295,0,,
1296,0,,
1297,0,,
1298,0,,
1299,0,,
1300,0,,
1301,0,,
1302,1,,
1303,350,,
1304,1880,,
1305,3735,,
1306,5445,,
1307,6670,,
1308,7070,,
1309,6453.5,,
1310,5360,,
1311,3670,,
1312,1600,,
1313,151.5,,
1314,8,,
1315,2,,
1316,0,,
1317,0,,
1318,0,,
1319,0,,
1320,0,,
1321,0,,
1322,0,,
1323,0,,
1324,0,,
1325,0,,
1326,2.5,,
1327,328,,
1328,2015,,
1329,3930,,
1330,5600,,
