,col
131,2420.583
132,2318.9305
133,2903.879
134,3112.2775
135,3175.919
136,3133.5035
137,3202.193
138,3169.2969999999996
139,3208.0609999999997
140,3038.0455
141,2829.2585
142,2814.459
143,2817.7545
144,2749.087
145,2728.033
146,2691.916
147,1426.9364999999998
148,2784.491
149,2820.5105
150,2823.8315000000002
151,2700.3535
152,2598.738
153,2552.032
154,2501.9355
155,2420.554
156,2496.6305
157,2528.971
158,2535.1135000000004
159,2739.464
160,2811.718
161,3021.1684999999998
162,3016.004
163,2957.0744999999997
164,2915.62
165,2934.6005
166,2973.8805
167,3014.728
168,3101.6795
169,3202.7305
170,3214.9170000000004
171,3304.7520000000004
172,3283.062
173,3328.794
174,3290.7005
175,3214.7685
176,3090.5635
177,3183.982
178,3174.758
179,3129.0055
180,2998.1955
181,2699.871
182,2487.0045
183,1208.0210000000002
184,2410.969
185,2544.9629999999997
186,2492.158
187,2281.5654999999997
188,2180.4815
189,2101.404
190,2038.489
191,1876.051
192,1761.726
193,1707.1734999999999
194,1672.155
195,1649.144
196,1481.502
197,1652.534
198,1618.8670000000002
199,1483.289
200,1589.289
201,791.596
202,1510.757
203,1399.4319999999998
204,1346.371
205,1238.1675
206,1347.7085
207,1279.8915
208,1202.4254999999998
209,1079.87
210,1103.903
211,1256.98
212,1602.384
213,1738.4565
214,1501.5785
215,1537.96
216,1497.6019999999999
217,1587.333
218,1461.8515000000002
219,1308.518
220,1244.0729999999999
221,1267.2240000000002
222,1200.5385
223,1332.7295
224,1280.2385
225,1157.344
226,1089.227
227,867.0085
228,717.465
229,626.4749999999999
230,531.088
231,470.076
232,428.727
233,391.722
234,369.63800000000003
235,379.06399999999996
236,332.1775
237,278.02049999999997
238,334.211
239,341.90200000000004
240,313.598
241,321.6315
242,351.916
243,343.538
244,366.50350000000003
245,350.675
246,338.3265
247,341.9035
248,334.62350000000004
249,234.656
250,258.387
251,240.85000000000002
252,221.65
253,279.0305
254,249.555
255,284.336
256,204.869
257,174.465
258,182.8525
259,179.85325
260,228.61450000000002
261,247.6355
262,221.9725
263,174.61700000000002
264,118.10300000000001
265,123.8195
266,166.6145
267,257.649
268,332.8515
269,294.575
270,438.0335
271,403.6545
272,391.0745
273,467.956
274,507.2505
275,533.3885
276,682.1244999999999
277,717.2115
278,862.874
279,894.565
280,899.0935
281,936.807
282,1089.1495
283,1182.3315
284,1254.796
285,1343.429
286,1401.8690000000001
287,1419.5115
288,1587.2565
289,1855.6475
290,1757.065
291,1726.6529999999998
292,1637.8485
293,1776.2244999999998
294,2016.757
295,2135.39
296,2301.6235
297,2474.865
298,2593.7
299,2465.117
300,2347.6045000000004
301,2274.8464999999997
302,2204.491
303,2093.2815
304,2118.544
305,2081.897
306,2139.5874999999996
307,2065.537
308,2115.7039999999997
309,2006.984
310,1956.418
311,1804.2024999999999
312,1576.4375
313,1589.5015
314,1525.766
315,802.604
316,1700.641
317,1731.9450000000002
318,1746.5455
319,1754.2785
320,1948.243
321,1938.0729999999999
322,1886.2295
323,1721.6570000000002
324,1601.9365
325,1635.4995
326,1591.801
327,1638.7195000000002
328,925.8795
329,1895.964
330,1960.0819999999999
331,2045.562
332,2355.7245000000003
333,2684.4625
334,2892.7785
335,3048.5755
336,2805.844
337,2867.808
338,3224.849
339,3574.2535
340,3598.4405
341,3594.4404999999997
342,3537.249
343,3431.5685000000003
344,3410.1185
345,3482.835
346,3403.1775
347,3272.9235
348,3520.911
349,3489.5640000000003
350,3533.546
351,3616.0865000000003
352,3680.615
353,3671.227
354,3617.346
355,3667.2805
356,3337.6405
357,1926.469
358,3834.446
359,3845.8419999999996
360,3816.5384999999997
361,3735.2425000000003
362,3812.8725
363,3856.1585
364,3839.822
365,3860.069
366,3872.319
367,3877.5845
368,3863.2675
369,3936.457
370,3868.4455
371,3868.8424999999997
372,3877.923
373,2026.7185000000002
374,2087.1045
375,4011.13
376,3963.2704999999996
377,3917.048
378,3952.513
379,3996.9669999999996
380,3964.375
381,4024.793
382,4008.8435
383,4002.9895
384,3992.6305
385,3946.013
386,2029.768
387,3923.6005
388,3908.167
389,3978.76
390,3989.084
391,3964.2205
392,2007.473
393,3987.9120000000003
394,3998.312
395,3894.996
396,3817.059
397,1959.1195
398,3736.8765
399,3632.3360000000002
400,3654.6440000000002
401,3677.8
402,3584.433
403,3373.3185000000003
404,2972.3175
405,3280.9975000000004
406,3272.6955
407,3282.2870000000003
408,3269.9335
409,3388.1130000000003
410,3396.9165000000003
411,3588.8514999999998
412,3645.319
413,2696.3125
414,1851.3625
415,1051.6055000000001
416,2935.566
417,3117.009
418,3061.7690000000002
419,2856.67
420,2783.172
421,2686.892
422,2271.2435
423,1934.666
424,1916.8775
425,2006.8195
426,2169.558
427,2570.1490000000003
428,2506.7
429,3039.9285
430,2873.242
431,3184.252
432,3082.8365
433,2964.1215
434,2913.462
435,2945.9004999999997
436,2961.4295
437,2982.8075
438,3012.2485
439,3105.62
440,3041.3885
441,2758.6915
442,2736.3855000000003
443,2971.485
444,3011.853
445,2880.249
446,2781.1499999999996
