,col
1932,2975.0
1933,4137.0
1934,2615.0
1935,1765.0
1936,829.0
1937,184.0
1938,7.0
1939,0.5
1940,0.5
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,2.5
1950,116.0
1951,762.0
1952,1805.0
1953,2810.0
1954,3630.0
1955,4005.0
1956,4430.0
1957,4193.5
1958,3345.0
1959,2285.0
1960,1144.5
1961,303.5
1962,11.5
1963,2.5
1964,1.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,1.5
1974,45.0
1975,234.0
1976,1016.5
1977,1700.0
1978,2375.0
1979,2800.0
1980,2795.0
1981,2228.0
1982,1940.0
1983,1355.0
1984,821.0
1985,331.5
1986,22.0
1987,17.5
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,4.0
1998,236.0
1999,828.5
2000,2237.0
2001,3620.0
2002,5080.0
2003,6028.5
2004,6286.0
2005,5690.0
2006,5150.0
2007,4111.0
2008,2933.5
2009,1583.0
2010,447.5
2011,43.5
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,11.5
2023,508.0
2024,1840.0
2025,3575.0
2026,5475.0
2027,6925.0
2028,6505.0
2029,5205.0
2030,5387.5
2031,3640.0
2032,2600.0
2033,1525.0
2034,493.0
2035,13.5
2036,4.0
2037,1.5
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,1.5
2046,1.5
2047,38.0
2048,258.5
2049,817.0
2050,1470.0
2051,2185.0
2052,2660.0
2053,3145.0
2054,2787.5
2055,2860.0
2056,2045.0
2057,1142.5
2058,408.0
2059,21.0
2060,0.5
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
