,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
132,Sunsave 20 (Knowlton) Ltd/ Vogt Solar ,Home Farm (Knowlton - solar),Solar,7,1382,1,11.5,11500,2014,2039
133,AEE Renewables,Lake Farm,Solar,7,1384,1,5,5000,2011,2036
134,Orta Solar,Parkhouse Corner (Orta Solar),Solar,7,1385,1,6.6,6600,2013,2038
135,Solar Power South,Sandhill Solar Park,Solar,7,1386,1,2,2000,2011,2036
136,Abbey Renewables,Mingay Farm,Solar,7,1387,1,5,5000,2011,2036
137,AEE Renewables,Jordanston Solar Farm,Solar,7,1388,1,5,5000,2013,2038
138,Aldi,Aldi Distribution Centre - Neston,Solar,7,1390,1,1.2,1200,2014,2039
139,British Solar Renewables,Rodbourne Rail Farm - Solar Park,Solar,7,1394,1,7.6,7600,2013,2038
140,Lark Energy,Barnby Moor,Solar,7,1404,1,4,4000,2015,2040
141,NextEnery Solar Fund (NESF),Knockworthy Farm,Solar,7,1416,1,3.5,3500,2013,2038
142,NextEnery Solar Fund (NESF),"Raglington Farm, Botley Road, Shedfield, Southampton, Hampshire",Solar,7,1418,1,5.8,5800,2013,2038
143,Lightsource Renewable Energy,Stables Farm,Solar,7,1421,1,1.5,1500,2012,2037
144,Lightsource Renewable Energy,Luson Farm,Solar,7,1423,1,1.9,1900,2013,2038
145,INRG Solar,Kellygreen Farm,Solar,7,1428,1,4,4000,2016,2041
146,juwi Renewable Energies,Grove Farm (solar),Solar,7,1429,1,3.5,3500,2015,2040
147,Lark Energy,Marston Solar Farm,Solar,7,1433,1,4.9,4900,2011,2036
148,Lightsource Renewable Energy,Tredown Solar Farm,Solar,7,1435,1,1.2,1200,2013,2038
149,Lightsource Renewable Energy,Slaughtergate Farm,Solar,7,1439,1,1.8,1800,2013,2038
150,Lightsource Renewable Energy,Kia Ora Farm,Solar,7,1441,1,1.8,1800,2013,2038
151,Lightsource Renewable Energy,Ellicombe Farm,Solar,7,1442,1,1.4,1400,2013,2038
152,Lightsource Renewable Energy,Southcombe Farm,Solar,7,1443,1,1.2,1200,2013,2038
153,Lightsource Renewable Energy,West Bradley Farm,Solar,7,1445,1,1.5,1500,2012,2037
154,Lightsource Renewable Energy,Whiddon Farm,Solar,7,1446,1,1,1000,2013,2038
155,Lightsource Renewable Energy,Lovedean Farm,Solar,7,1449,1,4.5,4500,2013,2038
156,Lightsource Renewable Energy,Higher Knapp Farm,Solar,7,1450,1,1.5,1500,2013,2038
157,Low Carbon Solar,Park Farm,Solar,7,1453,1,4,4000,2013,2038
158,Lumicity,Dunkeswell Airfield,Solar,7,1454,1,2,2000,2015,2040
159,NextEnergy Solar Fund,Langenhoe Solar Farm,Solar,7,1463,1,21.3,21300,2015,2040
160,Push Energy/ NextEnergy Solar Fund (NESF),Kentishes Solar Farm ,Solar,7,1464,1,5,5000,2016,2041
161,TGC Renewables,Marley Thatch Solar Farm,Solar,7,1467,1,6.3,6300,2013,2038
162,TGC Renewables,Newlands Farm (East Devon),Solar,7,1468,1,5,5000,2013,2038
163,Aldi,Goldthorpe,Solar,7,1473,1,1.5,1500,2014,2039
164,Lightsource Renewable Energy,Barley Wood Farm Lane (Gaston Lane - resubmission),Solar,7,1474,1,5.4,5400,2015,2040
165,Battens Farm Solar Park Ltd,Battens Farm Solar Park,Solar,7,1476,1,11,11000,2014,2039
166,INRG Solar,Combermere Abbey,Solar,7,1478,1,14,14000,2015,2040
167,UK Sustainable Energy,Foxburrow Farm,Solar,7,1480,1,8,8000,2014,2039
168,Sunsave 49 SPV (prev. Cherry Solar),Great Houndbeare Farm,Solar,7,1484,1,10,10000,2017,2042
169,NextEnergy Solar Fund,Condover (Green Farm),Solar,7,1485,1,10.2,10200,2015,2040
170,Bee Green Solar,Hurst Farm,Solar,7,1489,1,5,5000,2014,2039
171,IKEA Properties Investments Ltd,Ikea Distribution Centre - resubmission,Solar,7,1490,1,1.7,1700,2015,2040
172,Jaguar Land Rover ,Jaguar Land Rover ,Solar,7,1491,1,5.8,5800,2014,2039
173,Hazel Capital,Leverton Ings,Solar,7,1494,1,12,12000,2014,2039
174,Lightsource Renewable Energy,Little Morton Solar Farm,Solar,7,1497,1,14.3,14300,2014,2039
175,Lightsource Renewable Energy,Lodge Farm - Orston,Solar,7,1498,1,12.4,12400,2014,2039
176,Lowther Farms,Lowther Farms,Solar,7,1500,1,1.8,1800,2014,2039
177,Mackies Of Scotland Ltd,Mackies Dairy PV,Solar,7,1501,1,1.8,1800,2015,2040
178,Octopus Imvetments,Mingay Farm - extension,Solar,7,1502,1,19.3,19300,2014,2039
179,PS Renewables,Redcourt Farm,Solar,7,1503,1,3.3,3300,2015,2040
180,Gamma Solar Limited,Sowerby Lodge Farm,Solar,7,1506,1,5,5000,2018,2043
181,Solar Century,Stone Hill,Solar,7,1507,1,2.6,2600,2014,2039
182,Green Hedge (BayWa r.e.),Taunton Racecourse,Solar,7,1509,1,1.5,1500,2015,2040
183,Anesco,The Stables,Solar,7,1510,1,1.8,1800,2014,2039
184,Bee Green Solar,Vantage Point,Solar,7,1513,1,1.4,1400,2011,2036
185,Canadian solar ,Wilsom Farm,Solar,7,1515,1,11,11000,2016,2041
186,Lightsource Renewable Energy,Woodlands Farm Solar Park,Solar,7,1516,1,10,10000,2015,2040
187,KWTN Solar,Bowerhouse Farm,Solar,7,1518,1,8.3,8300,2015,2040
188,Sun Glow Power,Brickyard Barn (resubmission),Solar,7,1519,1,4.1,4100,2014,2039
189,Wrexham County Borough Council,Bronwylfa Reservoir,Solar,7,1520,1,3,3000,2015,2040
190,Sybac Solar International GmbH ,Land At Court Farm,Solar,7,1521,1,2.2,2200,2016,2041
191,Lightsource Renewable Energy,Crapnell Farm Solar Farm,Solar,7,1522,1,5.4,5400,2014,2039
192,Freewatt Renewable Energy,Danes Farm - extension,Solar,7,1525,1,10.5,10500,2016,2041
193,Next Energy Solar Fund Ltd,Ellough Airfield (Resubmission),Solar,7,1527,1,13.2,13200,2014,2039
194,Octopus Investments,Ermine Street Farm solar park,Solar,7,1528,1,32.5,32500,2014,2039
195,Belltown Power,Eynsham Solar Farm,Solar,7,1529,1,13.2,13200,2014,2039
196,Conergy,Ford Farm (Ashurst),Solar,7,1531,1,10,10000,2016,2041
197,Gamma Solar Limited,Priors Byne Farm,Solar,7,1536,1,7.6,7600,2016,2041
198,Greencoat Capital,Scottow Moor - RAF Coltishall Solar Farm (Phase 1),Solar,7,1537,1,32,32000,2015,2040
199,Anesco,Owls Lodge Farm Extension,Solar,7,1538,1,5,5000,2013,2038
200,Moser Baer,Hawksland Solar,Solar,7,1540,1,3.1,3100,2013,2038
201,Innogy (previously BELECTRIC Solar),Middle Treworder Farm,Solar,7,1541,1,5,5000,2013,2038
202,Lark Energy,Black Bush Farm,Solar,7,1542,1,2.7,2700,2014,2039
203,Wardell Armstrong International Ltd,Goonhilly Downs - PV,Solar,7,1543,1,4.5,4500,2014,2039
204,John Laing Environmental Assets,Higher Tregarne Solar Farm,Solar,7,1544,1,5,5000,2013,2038
205,China Sunergy,Causilgey Solar Farm,Solar,7,1545,1,5,5000,2013,2038
206,The Green Company,Ninnis Farm Solar,Solar,7,1546,1,5,5000,2013,2038
207,Low carbon Solar Partners,Trelow Farm,Solar,7,1547,1,1.6,1600,2012,2037
208,Lightsource Renewable Energy,Hewas Solar Farm,Solar,7,1548,1,5,5000,2013,2038
209,The Green Company,Great Knowle Farm Solar,Solar,7,1549,1,3,3000,2012,2037
210,P V Farms 01,Airfield Farm PV,Solar,7,1550,1,5,5000,2012,2037
211,Wardell Armstrong International Ltd,Lower Bodiniel Farm,Solar,7,1551,1,5,5000,2012,2037
212,Anesco,Shelswell Park Solar Farm,Solar,7,1552,1,5,5000,2013,2038
213,Abbey Renewables,Chittering Solar Farm,Solar,7,1553,1,5,5000,2012,2037
214,Cornwall Council Property Services,Kernow Solar Farm,Solar,7,1554,1,5,5000,2012,2037
215,Lark Energy,Limes Farm Solar Farm,Solar,7,1555,1,4.6,4600,2013,2038
216,Wessex Solar Energy,Bratton Fleming Solar Farm,Solar,7,1557,1,5,5000,2013,2038
217,Vogt Solar,Lee Farm,Solar,7,1558,1,5,5000,2012,2037
218,Laurence Associates,Woodlands Barton Solar Farm,Solar,7,1560,1,4.9,4900,2013,2038
219,Primrose Solar,Winsdon Farm,Solar,7,1561,1,5,5000,2014,2039
220,The Manor of Cadland Estate,The Manor of Cadland Estate,Solar,7,1562,1,5,5000,2012,2037
221,Low Carbon Solar,Trenouth Farm,Solar,7,1563,1,3.6,3600,2012,2037
222,Inazin (Low Carbon Solar),Callington Solar Farm,Solar,7,1564,1,6.4,6400,2014,2039
223,Inazin Solar (previoulsy owned by Low Carbon Solar),St Columb Major Solar Farm,Solar,7,1566,1,7,7000,2014,2039
224,NextEnery Solar Fund (NESF),Crossways Pit Solar Farm,Solar,7,1567,1,5,5000,2013,2038
225,AEE Renewables,Ayshford Court Farm,Solar,7,1569,1,5,5000,2013,2038
226,The Clark Trustees,Andover Solar Farm,Solar,7,1570,1,5,5000,2013,2038
227,Vogt Solar,Oving Solar Farm,Solar,7,1571,1,5,5000,2012,2037
228,Vogt Solar,Grange Farm (Cornwall),Solar,7,1572,1,5,5000,2013,2038
229,Low Carbon Solar,Shipton Bellinger - Park House Corner Solar Farm,Solar,7,1573,1,5.4,5400,2013,2038
230,NextEnery Solar Fund (NESF),Wyld Meadow Solar Farm,Solar,7,1574,1,4.8,4800,2012,2037
231,Anesco,Shooters Bottom Solar Park,Solar,7,1575,1,7,7000,2014,2039
232,Cricket St Thomas Estate,Goldenhaye Field Solar Farm,Solar,7,1576,1,2,2000,2013,2038
233,Heritage Energy,Clearwell Farm - solar,Solar,7,1577,1,2,2000,2015,2040
234,Freewatt Renewable Energy,Danes Farm,Solar,7,1578,1,3.3,3300,2011,2036
235,Private Developer,Langstone Court Road Solar Farm,Solar,7,1580,1,2.5,2500,2013,2038
236,John Laing Environmental ,Five Oaks Solar Farm,Solar,7,1581,1,5,5000,2011,2036
237,Private Developer,Culworth House Solar Farm,Solar,7,1582,1,3,3000,2015,2040
238,Low Carbon Solar,Warleigh Barton Solar Farm,Solar,7,1583,1,5,5000,2013,2038
239,Kronos Solar,Trenoweth Solar Farm,Solar,7,1584,1,2.5,2500,2013,2038
240,Foresight Solar Fund,Wymeswold Airfield,Solar,7,1585,1,34,34000,2013,2038
241,Hive Energy,Higher Hatherleigh Solar Farm,Solar,7,1586,1,3.5,3500,2013,2038
242,Lightsource Renewable Energy,Barton Solar Farm,Solar,7,1587,1,1.2,1200,2012,2037
243,Lightsource Renewable Energy,Clann Solar Farm,Solar,7,1588,1,1.4,1400,2014,2039
244,,Dolmans Hill (Redbridge Farm) Solar Arrays,Solar,7,1589,1,5,5000,2014,2039
245,NESF (formerly Lumicity),North Norfolk Business Centre Solar Park,Solar,7,1590,1,11,11000,2014,2039
246,Hazel Capital,Horsacott Farm Solar Park,Solar,7,1591,1,6.4,6400,2013,2038
247,Lark Energy,Broxted Solar Farm (Stradishall Airfield),Solar,7,1592,1,31.6,31600,2014,2039
248,Moser Baer,Pentylands Farm,Solar,7,1593,1,19,19000,2014,2039
249,MTS Trefinnick Solar Ltd,Trefinnick Farm,Solar,7,1594,1,5,5000,2013,2038
250,TRIG,Four Burrows Solar farm,Solar,7,1595,1,7.2,7200,2015,2040
251,Rudbaxton Solar Park Limited,Rudbaxton Solar Park,Solar,7,1598,1,10.8,10800,2014,2039
252,Hope Solar Park Ltd,Hope Solar Farm,Solar,7,1601,1,7.3,7300,2014,2039
253,Anesco,Culmhead Solar Farm (Resubmission),Solar,7,1603,1,7.5,7500,2014,2039
254,TGC Renewables,Wheal Alfred Road Solar Farm,Solar,7,1604,1,3.5,3500,2013,2038
255,Lightsource Renewable Energy,Blatchworthy Farm,Solar,7,1605,1,1.5,1500,2013,2038
256,Private Developer,Parsonage Barn (extension),Solar,7,1606,1,7.6,7600,2013,2038
257,AGR,BIOSSENCE SOLAR PARK,Solar,7,1607,1,4.5,4500,2011,2036
258,Hendra Holiday Park,HENDRA HOLIDAY PARK SOLAR FARM,Solar,7,1609,1,1.2,1200,2011,2036
259,The Green Company,EASTACOMBE SOLAR FARM,Solar,7,1610,1,3.6,3600,2012,2037
260,Wrexham Council,Wrexham Social Housing PV,Solar,7,1612,1,5.4,5400,2012,2037
261,Renewable Resources,Sainsbury's Stores (169 individual Stores),Solar,7,1613,1,16,16000,2012,2037
262,Good Energy Generation,Creathorne Farm  - Solar Farm,Solar,7,1614,1,1.8,1800,2014,2039
263,First Wessex Housing Association,First Wessex Housing Properties (multiple),Solar,7,1616,1,1,1000,2015,2040
264,Lightsource Renewable Energy,Higher Pirzwell Solar Farm,Solar,7,1617,1,1.2,1200,2012,2037
265,Lightsource Renewable Energy,Broadgate Solar Farm,Solar,7,1618,1,1.1,1100,2012,2037
266,Lightsource,CRAYSMARSH SOLAR FARM,Solar,7,1619,1,1.8,1800,2012,2037
267,Anesco,SOLAR PARK - WHITCHURCH FARM,Solar,7,1620,1,6.5,6500,2014,2039
268,Private Developer,THE HOLLIES SOLAR PARK - SKEGNESS,Solar,7,1622,1,8.6,8600,2013,2038
