,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
727,Bilsthorpe Quarry Solar Park,Solar,7,2378,1,4.8,4800,2014,2039
728,Littlebourne,Solar,7,2379,1,17.0,17000,2014,2039
729,Wellingborough Solar Farm,Solar,7,2380,1,8.5,8500,2014,2039
730,Baglan Bay Solar Farm - Phase 1,Solar,7,2381,1,5.0,5000,2014,2039
731,Gover Farm Solar Park,Solar,7,2382,1,8.0,8000,2014,2039
732,Kerriers Solar Park,Solar,7,2383,1,9.6,9600,2014,2039
733,Hullavington Solar Park,Solar,7,2384,1,7.0,7000,2015,2040
734,Crossness Sewage Works PV,Solar,7,2385,1,1.5,1500,2011,2036
735,Higher Hill Farm,Solar,7,2386,1,5.0,5000,2011,2036
736,Manor Farm (Keinton Mandeville),Solar,7,2387,1,1.0,1000,2011,2036
737,Walton WTW PV,Solar,7,2388,1,1.8,1800,2011,2036
738,Wolseley National Distribution Centre,Solar,7,2389,1,2.0,2000,2014,2039
739,East Midlands Distribution Centre,Solar,7,4694,1,6.1,6100,2015,2040
740,Land at High Point Farm,Solar,7,4701,1,4.5,4500,2017,2042
741,Land at Newlands Farm,Solar,7,4703,1,5.0,5000,2016,2041
742,Eckland Lodge Farm,Solar,7,4705,1,2.9,2900,2016,2041
743,Caddington Solar Farm (Phase 2),Solar,7,4706,1,5.0,5000,2016,2041
744,Montys Farm,Solar,7,4712,1,5.0,5000,2016,2041
745,Merston Solar Park,Solar,7,4713,1,10.0,10000,2016,2041
746,Fambridge Road/Canewdon Road,Solar,7,4718,1,5.0,5000,2015,2040
747,Roskrow Farm,Solar,7,4721,1,8.9,8900,2015,2040
748,Hale Farm,Solar,7,4727,1,8.0,8000,2016,2041
749,Pylle Southern solar park (Lower Easton Farm),Solar,7,4729,1,5.0,5000,2015,2040
750,Land at Darran Farm,Solar,7,4734,1,2.6,2600,2017,2042
751,Wisbech Solar Farm,Solar,7,4736,1,3.5,3500,2015,2040
752,Stow Solar Farm,Solar,7,4737,1,10.2,10200,2016,2041
753,Rhug Estate,Solar,7,4738,1,1.2,1200,2016,2041
754,Snettisham Solar Farm,Solar,7,4739,1,2.7,2700,2017,2042
755,West Hill Farm,Solar,7,4740,1,2.4,2400,2015,2040
756,Cold Harbour Farm,Solar,7,4745,1,5.0,5000,2015,2040
757,Land at Whatton Road,Solar,7,4748,1,1.5,1500,2015,2040
758,Marshwood Farm,Solar,7,4752,1,1.8,1800,2015,2040
759,House O?Hill Solar Farm,Solar,7,4753,1,1.6,1600,2015,2040
760,Hawkers Farm (resubmission),Solar,7,4757,1,9.5,9500,2015,2040
761,Woodtown Farm,Solar,7,4761,1,3.8,3800,2015,2040
762,Land at Tangmere Airfield,Solar,7,4766,1,5.0,5000,2015,2040
763,Land at Coton Park Colliery,Solar,7,4767,1,2.5,2500,2015,2040
764,Chapel Farm,Solar,7,4769,1,5.0,5000,2017,2042
765,Cairnmore Solar Park,Solar,7,4780,1,3.8,3800,2016,2041
766,Bake Farm Solar Farm,Solar,7,4783,1,5.0,5000,2016,2041
767,Thompson House Equestrian farm,Solar,7,4785,1,5.0,5000,2016,2041
768,Red Hill Farm,Solar,7,4792,1,4.8,4800,2015,2040
769,Stoneshill Farm (resubmission),Solar,7,4794,1,5.0,5000,2017,2042
770,Carlam Hill Education CIC,Solar,7,4804,1,5.0,5000,2016,2041
771,Caldecote Manor Farm,Solar,7,4825,1,5.0,5000,2016,2041
772,Crundale / Fenton Home Farm (extension),Solar,7,4830,1,5.9,5900,2015,2040
773,Fieldscale,Solar,7,4833,1,10.6,10600,2016,2041
774,Iwade Solar Farm,Solar,7,4836,1,1.7,1700,2015,2040
775,Kingsland Barton Solar Farm (resubmission),Solar,7,4838,1,5.0,5000,2014,2039
776,Lee Moor China Clay Works,Solar,7,4839,1,9.5,9500,2015,2040
777,Littleton,Solar,7,4840,1,12.1,12100,2015,2040
778,Lount solar farm,Solar,7,4841,1,2.8,2800,2015,2040
779,New Mains Of Guynd Farm,Solar,7,4844,1,10.0,10000,2016,2041
780,Orchard Farm,Solar,7,4846,1,10.0,10000,2016,2041
781,Salford Lodge,Solar,7,4850,1,5.0,5000,2015,2040
782,The Grange,Solar,7,4856,1,8.0,8000,2016,2041
783,Thorne Farm,Solar,7,4857,1,5.0,5000,2015,2040
784,Tiddiecross Solar Farm,Solar,7,4858,1,10.5,10500,2015,2040
785,Tooleys Farm,Solar,7,4859,1,5.3,5300,2015,2040
786,Trickey Warren,Solar,7,4860,1,4.8,4800,2015,2040
787,Twemlows,Solar,7,4861,1,10.0,10000,2015,2040
788,Tyddyn Cae (Nefyn),Solar,7,4862,1,4.9,4900,2015,2040
789,Abbots Ann,Solar,7,4874,1,7.0,7000,2015,2040
790,Margate Solar Farm,Solar,7,4878,1,3.0,3000,2015,2040
791,Laceby Solar Farm,Solar,7,4880,1,27.1,27100,2016,2041
792,Land East of White Horse Lane,Solar,7,4885,1,5.0,5000,2016,2041
793,Westfield Farm,Solar,7,4887,1,5.0,5000,2016,2041
794,West Woodlands ,Solar,7,4889,1,5.0,5000,2016,2041
795,Mendennick Farm (resubmission),Solar,7,4891,1,2.8,2800,2015,2040
796,Cockett Valley,Solar,7,4896,1,4.0,4000,2017,2042
797,Rampisham North,Solar,7,4897,1,5.0,5000,2017,2042
798,Severn Road Solar Park,Solar,7,4899,1,1.8,1800,2016,2041
799,Moorhouse Farm,Solar,7,4903,1,5.0,5000,2016,2041
800,Land at Sutor Farm,Solar,7,4916,1,5.0,5000,2016,2041
801,Land North East Of Penrose Far,Solar,7,4929,1,1.5,1500,2015,2040
802,Land At Ferry Farm,Solar,7,4931,1,10.0,10000,2015,2040
803,Land at Brookbarn Farm,Solar,7,4933,1,3.0,3000,2015,2040
804,Field at School Aycliffe Lane,Solar,7,4935,1,5.0,5000,2015,2040
805,Capel Grange Solar Park,Solar,7,4936,1,6.6,6600,2016,2041
806,Pentre farm,Solar,7,4938,1,5.5,5500,2014,2039
807,Land At Rymes Farm (Phase 1),Solar,7,4939,1,6.9,6900,2016,2041
808,Land At Rymes Farm (Phase 2)/Grange Solar Farm,Solar,7,4943,1,6.8,6800,2015,2040
809,Trowle Common,Solar,7,4948,1,5.0,5000,2016,2041
810,Canopus Farm,Solar,7,4951,1,5.0,5000,2015,2040
811,Land At Guston Court Farm,Solar,7,4952,1,5.0,5000,2015,2040
812,Pressock Farm,Solar,7,4969,1,5.0,5000,2017,2042
813,Rufford Lane,Solar,7,4983,1,2.6,2600,2016,2041
814,Land to the north and south of Cakers Lane (Wilsom),Solar,7,4986,1,11.0,11000,2017,2042
815,Collacott Farm,Solar,7,4990,1,4.5,4500,2016,2041
816,Tonedale Farm,Solar,7,4994,1,5.0,5000,2015,2040
817,Lindridge Farm,Solar,7,4996,1,5.0,5000,2015,2040
818,Abbots Ripton Solar Farm (ext.),Solar,7,4997,1,3.9,3900,2015,2040
819,Fleetwood Water Treatment Works,Solar,7,5001,1,1.3,1300,2015,2040
820,Triangle Solar Farm Park,Solar,7,5002,1,10.0,10000,2017,2042
821,Land at Lower House Farm,Solar,7,5006,1,8.1,8100,2016,2041
822,Aldi Distribution Centre,Solar,7,5012,1,1.3,1300,2015,2040
823,Bromfield Sand and Gravel,Solar,7,5014,1,0.5,500,2017,2042
824,Land at Heywood Grange,Solar,7,5015,1,8.4,8400,2016,2041
825,Ravens Close,Solar,7,5017,1,5.0,5000,2017,2042
826,Forest Farm,Solar,7,5018,1,3.0,3000,2017,2042
827,Land West of Roberts Wall Far,Solar,7,5019,1,2.5,2500,2016,2041
828,Drayton Manor Farm,Solar,7,5020,1,25.0,25000,2016,2041
829,Somersal Mill Farm,Solar,7,5022,1,2.6,2600,2016,2041
830,Land Opposite Tyn Y Pistyll,Solar,7,5026,1,5.0,5000,2015,2040
831,Land South of Highfield House,Solar,7,5033,1,5.0,5000,2016,2041
832,Rhewl Farm,Solar,7,5053,1,6.0,6000,2016,2041
833,Land at Dayfields Farm,Solar,7,5063,1,4.7,4700,2016,2041
834,MMD Shipping Services,Solar,7,5071,1,1.2,1200,2015,2040
835,Newton Margate,Solar,7,5079,1,1.5,1500,2015,2040
836,Eveley Farm (resubmission),Solar,7,5080,1,49.0,49000,2016,2041
837,Court Farm (Resubmission),Solar,7,5084,1,8.5,8500,2017,2042
838,Green Farm (resubmission),Solar,7,5089,1,5.0,5000,2015,2040
839,Home Farm,Solar,7,5090,1,6.7,6700,2017,2042
840,Land at Thornborough Grounds,Solar,7,5092,1,5.0,5000,2016,2041
841,Port of Barry (Resubmission) - Site 1,Solar,7,5093,1,4.5,4500,2015,2040
842,Southern Counties Shooting Ground Phase 1 (resubmission),Solar,7,5096,1,9.0,9000,2017,2042
843,Fanny House Farm,Solar,7,5099,1,5.0,5000,2015,2040
844,Chard Solar Park,Solar,7,5102,1,3.0,3000,2016,2041
845,Home Farm,Solar,7,5104,1,3.0,3000,2017,2042
846,Marshborough Farm solar park (resubmission),Solar,7,5117,1,5.0,5000,2015,2040
847,Fiskerton Airfield (Phase 2),Solar,7,5118,1,22.0,22000,2015,2040
848,"Langley Priory, Walnut Yard (Phase 2)",Solar,7,5119,1,6.2,6200,2016,2041
849,Bluegates Solar Park,Solar,7,5125,1,10.5,10500,2015,2040
850,Land To The East Of Back Lane,Solar,7,5128,1,5.0,5000,2015,2040
851,Land East Of Wadbrook Farm,Solar,7,5131,1,5.0,5000,2017,2042
852,Land at Fell View Farm (Phase 1),Solar,7,5132,1,4.2,4200,2016,2041
853,South of Henley Hall,Solar,7,5136,1,5.0,5000,2017,2042
854,Place Barton Farm,Solar,7,5137,1,4.9,4900,2017,2042
855,Lower Stanley Farm,Solar,7,5139,1,4.0,4000,2016,2041
856,Land Parcel North of Goddards,Solar,7,5140,1,5.0,5000,2016,2041
857,"Ld At Lawrence End Park &, Dane Street",Solar,7,5142,1,5.0,5000,2015,2040
858,"Gravel Works, Wasing Estate",Solar,7,5143,1,5.0,5000,2017,2042
859,Drakelow Solar Farm,Solar,7,5145,1,5.0,5000,2016,2041
860,Land at Five Oaks Farm,Solar,7,5146,1,5.0,5000,2016,2041
861,Knolton Farmhouse Cheese Solar Farm,Solar,7,5147,1,1.0,1000,2016,2041
862,Blakenhall Park Solar Farm,Solar,7,5148,1,1.8,1800,2015,2040
863,Grantham Solar Farm,Solar,7,5149,1,5.0,5000,2015,2040
864,Agricultural Land at Trecastle,Solar,7,5150,1,4.0,4000,2015,2040
865,Sharland Solar Farm,Solar,7,5152,1,2.8,2800,2017,2042
866,Short Hazel Solar Farm,Solar,7,5156,1,5.0,5000,2016,2041
867,Mill Hill Farm,Solar,7,5157,1,5.0,5000,2015,2040
868,"Little Irchester, Higham Road Solar Farm",Solar,7,5158,1,4.6,4600,2016,2041
869,Land North of Chiltern Greeen,Solar,7,5162,1,5.0,5000,2016,2041
870,Land off Moss Land (resubmission),Solar,7,5163,1,5.0,5000,2017,2042
871,Hill Farm,Solar,7,5164,1,5.0,5000,2017,2042
872,Padleywood Farm,Solar,7,5165,1,5.0,5000,2016,2041
873,Tiln Farm Retford (extension),Solar,7,5167,1,1.7,1700,2015,2040
874,Tower Hayes Farm,Solar,7,5168,1,5.0,5000,2016,2041
875,Land West of Sheriffhales (resubmission),Solar,7,5169,1,8.2,8200,2015,2040
876,Land Adjacent Claypits Farm (a),Solar,7,5182,1,5.0,5000,2015,2040
877,Land Adjacent Claypits Farm (b) (Birch Estate),Solar,7,5183,1,2.3,2300,2016,2041
878,Fferm Bryn Bachau,Solar,7,5190,1,4.4,4400,2016,2041
879,Scottow Moor - RAF Coltishall Solar Farm (Phase 2),Solar,7,5199,1,17.9,17900,2016,2041
880,West Carclaze Solar Farm,Solar,7,5202,1,6.5,6500,2017,2042
881,Flixborough Industrial Estate,Solar,7,5204,1,5.0,5000,2017,2042
882,Land adjacent to Church Road,Solar,7,5207,1,3.5,3500,2016,2041
883,Lady Hole Farm,Solar,7,5212,1,3.0,3000,2016,2041
884,Bransholme Solar CIC,Solar,7,5214,1,5.0,5000,2016,2041
885,Land at Christ?s Hospital School,Solar,7,5218,1,1.1,1100,2015,2040
886,Creswell Solar Park (resubmission),Solar,7,5224,1,5.0,5000,2016,2041
887,Pollington Solar Farm,Solar,7,5225,1,5.0,5000,2017,2042
888,Land NW Of Pickhill Bridge Farm,Solar,7,5226,1,3.6,3600,2017,2042
889,Moneystone Quarry Solar Farm (resubmission),Solar,7,5229,1,5.0,5000,2016,2041
890,Pingry Farm - Phase 2,Solar,7,5230,1,3.4,3400,2015,2040
891,Kenninghall Solar / Hazeldick Solar,Solar,7,5231,1,8.0,8000,2015,2040
892,Wogaston Solar Farm,Solar,7,5232,1,5.3,5300,2015,2040
893,Crugmore Farm,Solar,7,5233,1,6.4,6400,2015,2040
894,Rydon Farm,Solar,7,5234,1,12.0,12000,2015,2040
895,"Solar farm at land at The Willows, Uttoxeter",Solar,7,5241,1,6.4,6400,2017,2042
896,Highwood Lane,Solar,7,5242,1,5.0,5000,2016,2041
897,Yorkley Solar Park,Solar,7,5243,1,5.0,5000,2015,2040
898,Solar Farm at Fields Farm (Phase 1),Solar,7,5244,1,5.0,5000,2016,2041
899,Land at Beech Farm,Solar,7,5253,1,4.6,4600,2016,2041
900,Aberporth Solar Farm,Solar,7,5256,1,1.5,1500,2015,2040
901,Hoplass Farm,Solar,7,5257,1,10.0,10000,2015,2040
902,Chelveston Renewable Energy Park - Solar Extension,Solar,7,5258,1,19.5,19500,2015,2040
903,Grove Solar Park (Phase 1),Solar,7,5259,1,5.0,5000,2016,2041
904,Fell View Farm (Phase 2),Solar,7,5261,1,2.9,2900,2016,2041
905,Land At Chiddinglye Farm,Solar,7,5263,1,5.0,5000,2016,2041
906,Land of coal pit lane,Solar,7,5264,1,5.0,5000,2016,2041
907,Huntingfield Solar Farm,Solar,7,5265,1,4.4,4400,2018,2043
908,Astley Solar Farm,Solar,7,5266,1,5.0,5000,2016,2041
909,Majors Hill/Turners Hill Solar Farm,Solar,7,5267,1,1.1,1100,2016,2041
910,Land South Of Bryn Cyrnau Isaf (resubmission),Solar,7,5271,1,5.9,5900,2017,2042
911,Ashby Solar Farm (a),Solar,7,5273,1,5.0,5000,2016,2041
912,Land South of Knock Lane,Solar,7,5282,1,4.0,4000,2016,2041
913,Land south of Brick Kiln Road,Solar,7,5285,1,5.0,5000,2016,2041
914,Averhill Farm,Solar,7,5287,1,5.0,5000,2015,2040
915,Morton House (Marchington),Solar,7,5288,1,6.2,6200,2016,2041
916,Biglis Farm,Solar,7,5289,1,5.0,5000,2016,2041
917,Milborne Port Solar Farm,Solar,7,5290,1,4.2,4200,2018,2043
918,Land At Cwm Bargoed,Solar,7,5292,1,5.0,5000,2016,2041
919,Land South Off Ollerton Road,Solar,7,5293,1,4.2,4200,2017,2042
920,Land At Swanland Road,Solar,7,5295,1,5.0,5000,2017,2042
921,Rookery Business Park,Solar,7,5296,1,5.0,5000,2016,2041
922,Land North of Sandhutton Lane,Solar,7,5297,1,5.0,5000,2017,2042
923,"Land West Of Hunger Hill Farm
",Solar,7,5301,1,5.0,5000,2017,2042
924,Land East Of Honeysome Road,Solar,7,5302,1,4.6,4600,2016,2041
925,Salford Road Solar Farm (resubmission),Solar,7,5303,1,2.2,2200,2015,2040
926,Ld NW Of Ratcliffe House Farm,Solar,7,5305,1,3.5,3500,2015,2040
927,"Land at Woodhouse Farm           
",Solar,7,5309,1,5.0,5000,2016,2041
928,"Parklands         
",Solar,7,5310,1,4.6,4600,2016,2041
929,Amcor Flexibles,Solar,7,5312,1,1.7,1700,2015,2040
930,Waterditch Solar Farm,Solar,7,5315,1,18.0,18000,2016,2041
931,Land Off Ingarsby Lane,Solar,7,5316,1,2.1,2100,2016,2041
932,Nissan Test Track,Solar,7,5320,1,4.8,4800,2016,2041
933,Cooper House Farm,Solar,7,5321,1,5.0,5000,2016,2041
934,Land at Pollington Airfield,Solar,7,5322,1,5.0,5000,2015,2040
935,"Land at Poles Hole Farm     
",Solar,7,5324,1,6.8,6800,2017,2042
936,"Staining Wood Farm
",Solar,7,5328,1,4.9,4900,2016,2041
937,"Land between Orton Park Farm    
",Solar,7,5330,1,6.4,6400,2016,2041
938,"Site To North East Of, Lochcraigs Farm
",Solar,7,5332,1,5.0,5000,2017,2042
939,"West Mains of Kinblethmont 
",Solar,7,5333,1,5.0,5000,2016,2041
940,"Land West Side of Axe and Cleaver Lane 
",Solar,7,5336,1,5.0,5000,2016,2041
941,"Land To The North Of Moor Farm       
",Solar,7,5340,1,3.8,3800,2017,2042
942,Henley Solar Farm,Solar,7,5342,1,6.5,6500,2017,2042
943,Hawkers Farm,Solar,7,5343,1,2.5,2500,2016,2041
944,Crown Farm,Solar,7,5357,1,6.0,6000,2017,2042
945,Eaglescliffe Solar Farm,Solar,7,5359,1,5.0,5000,2017,2042
946,Tyddyn Gwyn (Gelli Gron Farm),Solar,7,5360,1,3.8,3800,2016,2041
947,Thornton Lane,Solar,7,5368,1,2.7,2700,2016,2041
948,Penycae Solar Farm,Solar,7,5376,1,5.0,5000,2016,2041
949,Land at Ingles Hill Farm,Solar,7,5377,1,3.0,3000,2016,2041
950,"Southbrook Solar Farm                
",Solar,7,5379,1,5.0,5000,2016,2041
951,Green Croft Solar Farm,Solar,7,5380,1,5.0,5000,2016,2041
952,Upper Pant-Ysgawen Farm/Crumlin,Solar,7,5381,1,4.9,4900,2016,2041
953,Land at Oxcroft Stocking Ground,Solar,7,5383,1,1.2,1200,2016,2041
954,West Strathore Solar Limited,Solar,7,5384,1,5.0,5000,2017,2042
955,Land at Meadow Farm,Solar,7,5385,1,5.0,5000,2017,2042
956,Hungerford Farm,Solar,7,5387,1,5.0,5000,2016,2041
957,Land at Morfa Camp,Solar,7,5389,1,2.8,2800,2016,2041
958,Land South of Pogmore Spinney,Solar,7,5391,1,5.0,5000,2017,2042
959,Abbey Fields Farm,Solar,7,5394,1,5.3,5300,2016,2041
960,Ernesettle Solar Farm,Solar,7,5395,1,4.1,4100,2016,2041
961,SPF Thirty Acres Farm,Solar,7,5396,1,3.8,3800,2016,2041
962,Killan Farm Solar Array Extens,Solar,7,5398,1,1.0,1000,2017,2042
963,Land East of Appleton Farm,Solar,7,5400,1,5.0,5000,2016,2041
964,Land At Debdale Lane,Solar,7,5401,1,5.0,5000,2016,2041
965,Land at Ash Row Farm,Solar,7,5402,1,5.0,5000,2015,2040
966,Land at Stripe Farm,Solar,7,5403,1,5.0,5000,2016,2041
967,Land at Bolsover Moor Quarry,Solar,7,5404,1,5.0,5000,2017,2042
968,Land To The North Of Dairy House Farm,Solar,7,5406,1,3.4,3400,2016,2041
969,Pennington Recycling Centre,Solar,7,5407,1,1.2,1200,2016,2041
970,Land west of Welton Road,Solar,7,5412,1,4.4,4400,2016,2041
971,Twin Yards Solar Farm,Solar,7,5415,1,5.0,5000,2017,2042
972,Land of Green Lane,Solar,7,5424,1,5.8,5800,2017,2042
973,Land At  Actrees Farm,Solar,7,5425,1,5.0,5000,2016,2041
974,Land at Bowden Lane,Solar,7,5428,1,5.0,5000,2017,2042
975,Land at Stalbridge Park,Solar,7,5429,1,5.0,5000,2017,2042
976,Frog's Loke Solar Farm,Solar,7,5430,1,5.0,5000,2016,2041
977,Manmoel Road Solar Park,Solar,7,5437,1,4.1,4100,2017,2042
978,Huntspill Level Solar Park,Solar,7,5440,1,5.5,5500,2016,2041
979,Land at Box Road,Solar,7,5442,1,2.2,2200,2016,2041
980,Land south of Wood Lane (Safeguard Bradwell),Solar,7,5447,1,5.0,5000,2017,2042
981,Newton Downs Farm,Solar,7,5451,1,5.0,5000,2017,2042
982,Bunn's Hill Solar Park,Solar,7,5453,1,5.0,5000,2016,2041
983,Rushmoor Lane Farm (Cheshire Coppice),Solar,7,5465,1,5.0,5000,2016,2041
984,Fullenton Solar Farm,Solar,7,5472,1,4.2,4200,2016,2041
985,Cwm Derwyn Farm,Solar,7,5477,1,5.0,5000,2017,2042
986,Land to the west of Ashfordby Business Park,Solar,7,5478,1,3.5,3500,2016,2041
987,York Solar Farm,Solar,7,5482,1,34.7,34700,2019,2044
988,Land Off Folly Lane,Solar,7,5483,1,5.0,5000,2016,2041
989,Land At Bake Farm,Solar,7,5485,1,5.0,5000,2016,2041
990,Land To The South Of Todderstaffe,Solar,7,5486,1,4.5,4500,2017,2042
991,Strettington Solar Farm,Solar,7,5487,1,5.0,5000,2016,2041
992,Cressing Solar Farm (Phase 1),Solar,7,5497,1,5.0,5000,2016,2041
993,Land north of Ashton Road,Solar,7,5498,1,4.0,4000,2017,2042
994,Parc Cynog,Solar,7,5499,1,5.0,5000,2016,2041
995,Albrighton Solar farm,Solar,7,5506,1,15.8,15800,2017,2042
996,Clapton Farm Solar Park,Solar,7,5508,1,5.0,5000,2017,2042
997,Galton Manor Solar Park,Solar,7,5512,1,5.0,5000,2017,2042
998,Wormit Solar Farm,Solar,7,5513,1,4.0,4000,2017,2042
999,The Breck,Solar,7,5520,1,5.0,5000,2016,2041
1000,North Tenement,Solar,7,5523,1,5.0,5000,2017,2042
1001,Cwrt Henllys Farm,Solar,7,5524,1,5.0,5000,2016,2041
1002,Land at Wreay,Solar,7,5525,1,5.0,5000,2017,2042
1003,Common Farm,Solar,7,5527,1,4.8,4800,2016,2041
1004,Fields Farm (Agden),Solar,7,5529,1,5.0,5000,2017,2042
1005,Land at Hill Farm,Solar,7,5530,1,1.2,1200,2016,2041
1006,Land to North West of Lodge Farm (Park Farm),Solar,7,5531,1,4.0,4000,2017,2042
1007,Seaton Road Solar Farm,Solar,7,5532,1,4.0,4000,2017,2042
1008,Wick Lane Solar Ltd,Solar,7,5536,1,2.8,2800,2017,2042
1009,Otherton Farm,Solar,7,5538,1,4.0,4000,2017,2042
1010,Nanthenfoel Farms,Solar,7,5540,1,5.0,5000,2017,2042
1011,Land at Green Farm,Solar,7,5545,1,1.0,1000,2016,2041
1012,West Venn Solar Farm (resubmission),Solar,7,5547,1,5.0,5000,2017,2042
1013,Corntown Farm,Solar,7,5548,1,3.4,3400,2017,2042
1014,Wally Corner Landfill Site,Solar,7,5551,1,7.0,7000,2017,2042
1015,Land North of the Wood at Averill Farm,Solar,7,5554,1,5.0,5000,2016,2041
1016,Sudforth Lane (Kellingley Solar Farm),Solar,7,5559,1,5.0,5000,2017,2042
1017,Berthlwyd Farm,Solar,7,5560,1,5.0,5000,2017,2042
1018,Pinguin Foods,Solar,7,5562,1,1.5,1500,2016,2041
1019,Land East of Lawn Lane,Solar,7,5568,1,5.0,5000,2016,2041
1020,Land off Ford Lane,Solar,7,5572,1,4.7,4700,2016,2041
1021,Woodhouse Fields Farm,Solar,7,5577,1,5.0,5000,2017,2042
1022,Land off Hooklands Lane,Solar,7,5578,1,5.0,5000,2016,2041
1023,High Dyke (Mill Farm),Solar,7,5581,1,5.0,5000,2016,2041
1024,Land West of Parsonage Wood,Solar,7,5582,1,4.2,4200,2016,2041
1025,Land at Oldstone Farm,Solar,7,5588,1,5.0,5000,2017,2042
1026,Shortheath Solar Park,Solar,7,5590,1,5.0,5000,2017,2042
1027,Land at Oxcroft Stocking Ground,Solar,7,5591,1,3.0,3000,2016,2041
1028,Holtwood Farm,Solar,7,5592,1,5.0,5000,2016,2041
1029,Nectar Way Regional Distribution Centre,Solar,7,5596,1,1.0,1000,2015,2040
1030,Gib Lane Solar farm (Extension),Solar,7,5599,1,5.0,5000,2016,2041
1031,Land east of Littledown Business Park,Solar,7,5600,1,6.2,6200,2016,2041
1032,Lyreco - Telford Distribution Centre,Solar,7,5602,1,3.8,3800,2016,2041
1033,Port of Barry (Resubmission) - Site 2,Solar,7,5605,1,5.0,5000,2015,2040
1034,Holly Farm Solar Park,Solar,7,5632,1,5.0,5000,2017,2042
1035,Worsted Farm,Solar,7,5633,1,5.0,5000,2019,2044
1036,Basin Bridge Farm,Solar,7,5643,1,5.0,5000,2016,2041
1037,Land at East Farm,Solar,7,5650,1,5.0,5000,2017,2042
1038,B&Q Swindon DC,Solar,7,5653,1,2.5,2500,2016,2041
1039,Stragglethorpe Road farm,Solar,7,5654,1,5.0,5000,2016,2041
1040,Land at Bluehouse Farm,Solar,7,5656,1,5.0,5000,2016,2041
1041,Potters Bar Solar Farm,Solar,7,5660,1,5.0,5000,2017,2042
1042,Stob House Farm,Solar,7,5664,1,4.9,4900,2016,2041
1043,Granville Road Solar Farm,Solar,7,5670,1,5.0,5000,2016,2041
1044,Hyde Farm,Solar,7,5685,1,5.0,5000,2017,2042
1045,Lower Venn Farm,Solar,7,5686,1,5.0,5000,2016,2041
1046,Littlewood Lane Solar,Solar,7,5687,1,5.0,5000,2017,2042
1047,Peterlee Solar Farm,Solar,7,5694,1,5.0,5000,2016,2041
1048,Land On The East Side Of Fosse Way,Solar,7,5712,1,10.0,10000,2017,2042
1049,Briar Solar Farm,Solar,7,5720,1,1.9,1900,2017,2042
1050,Bent Spur Solar Farm,Solar,7,5723,1,5.0,5000,2016,2041
1051,Blaby Solar Farm,Solar,7,5735,1,3.5,3500,2016,2041
1052,Bilsthorpe (Land off Forest Lane),Solar,7,5742,1,5.0,5000,2017,2042
1053,Godley Water Treatment Works,Solar,7,5756,1,3.0,3000,2016,2041
1054,Park Farm,Solar,7,5786,1,5.0,5000,2016,2041
1055,Greaves Solar Farm,Solar,7,5793,1,5.0,5000,2016,2041
1056,Balhearty Solar,Solar,7,5795,1,5.0,5000,2016,2041
1057,Weddington Farm,Solar,7,5796,1,2.1,2100,2016,2041
1058,Middle Balbeggie,Solar,7,5797,1,5.0,5000,2017,2042
1059,Widehurst Farm,Solar,7,5824,1,5.0,5000,2017,2042
1060,Screwfix Direct,Solar,7,5828,1,2.5,2500,2016,2041
1061,Land at Biggin Lane,Solar,7,5829,1,5.0,5000,2016,2041
1062,Land at Barnham,Solar,7,5832,1,1.0,1000,2017,2042
1063,Ebnal Lodge (resubmission),Solar,7,5834,1,5.0,5000,2017,2042
1064,Southill Solar (resubmission),Solar,7,5835,1,4.5,4500,2016,2041
1065,"Carver Hay, moss lane",Solar,7,5838,1,2.5,2500,2017,2042
1066,St Helen's Lane,Solar,7,5848,1,5.0,5000,2017,2042
1067,Avonmouth,Solar,7,5864,1,4.2,4200,2016,2041
1068,Newport (Began Road),Solar,7,5866,1,4.9,4900,2016,2041
1069,Land to the south of Hill Farm (resubmission),Solar,7,5880,1,6.8,6800,2017,2042
1070,Mill Farm (resubmission),Solar,7,5887,1,5.0,5000,2016,2041
1071,Southern Counties Shooting Ground Phase 2 (resubmission),Solar,7,5891,1,5.0,5000,2017,2042
1072,Dura Park Bynea Industrial Site,Solar,7,5917,1,1.4,1400,2015,2040
1073,Brook Hall Farm (resubmission),Solar,7,5926,1,4.7,4700,2016,2041
1074,Land off Moss Side Lane (resubmission),Solar,7,5928,1,5.0,5000,2017,2042
1075,Barvills Solar Farm (resubmission),Solar,7,5942,1,5.0,5000,2017,2042
1076,Cairnmore Solar Park (extension),Solar,7,5945,1,1.2,1200,2015,2040
1077,London Southend Airport (resubmission),Solar,7,5946,1,2.5,2500,2016,2041
1078,Thameside DC,Solar,7,5985,1,1.0,1000,2016,2041
1079,Kinmel 2 CIC,Solar,7,6015,1,5.0,5000,2016,2041
1080,Moss Thorn Farm,Solar,7,6019,1,5.8,5800,2017,2042
1081,Caergarw Farm,Solar,7,6035,1,3.8,3800,2017,2042
1082,Rolls Royce Filton Campus Building 184,Solar,7,6042,1,1.4,1400,2016,2041
1083,Rolls Royce Filton Campus Building 185,Solar,7,6043,1,1.8,1800,2016,2041
1084,ParkerSteel Shoreham Plant,Solar,7,6055,1,1.8,1800,2015,2040
1085,Bourne Farm,Solar,7,6062,1,2.4,2400,2015,2040
