,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
128,Newlands Farm Solar - resubmission,Solar,7,1362,1,20.5,20500,2014,2039
129,Fen Road,Solar,7,1367,1,1.4,1400,2014,2039
130,Long Meadow Farm,Solar,7,1374,1,4.1,4100,2015,2040
131,Liverton Farm,Solar,7,1380,1,4.8,4800,2015,2040
132,Home Farm (Knowlton - solar),Solar,7,1382,1,11.5,11500,2014,2039
133,Lake Farm,Solar,7,1384,1,5.0,5000,2011,2036
134,Parkhouse Corner (Orta Solar),Solar,7,1385,1,6.6,6600,2013,2038
135,Sandhill Solar Park,Solar,7,1386,1,2.0,2000,2011,2036
136,Mingay Farm,Solar,7,1387,1,5.0,5000,2011,2036
137,Jordanston Solar Farm,Solar,7,1388,1,5.0,5000,2013,2038
138,Aldi Distribution Centre - Neston,Solar,7,1390,1,1.2,1200,2014,2039
139,Rodbourne Rail Farm - Solar Park,Solar,7,1394,1,7.6,7600,2013,2038
140,Barnby Moor,Solar,7,1404,1,4.0,4000,2015,2040
141,Knockworthy Farm,Solar,7,1416,1,3.5,3500,2013,2038
142,"Raglington Farm, Botley Road, Shedfield, Southampton, Hampshire",Solar,7,1418,1,5.8,5800,2013,2038
143,Stables Farm,Solar,7,1421,1,1.5,1500,2012,2037
144,Luson Farm,Solar,7,1423,1,1.9,1900,2013,2038
145,Kellygreen Farm,Solar,7,1428,1,4.0,4000,2016,2041
146,Grove Farm (solar),Solar,7,1429,1,3.5,3500,2015,2040
147,Marston Solar Farm,Solar,7,1433,1,4.9,4900,2011,2036
148,Tredown Solar Farm,Solar,7,1435,1,1.2,1200,2013,2038
149,Slaughtergate Farm,Solar,7,1439,1,1.8,1800,2013,2038
150,Kia Ora Farm,Solar,7,1441,1,1.8,1800,2013,2038
151,Ellicombe Farm,Solar,7,1442,1,1.4,1400,2013,2038
152,Southcombe Farm,Solar,7,1443,1,1.2,1200,2013,2038
153,West Bradley Farm,Solar,7,1445,1,1.5,1500,2012,2037
154,Whiddon Farm,Solar,7,1446,1,1.0,1000,2013,2038
155,Lovedean Farm,Solar,7,1449,1,4.5,4500,2013,2038
156,Higher Knapp Farm,Solar,7,1450,1,1.5,1500,2013,2038
157,Park Farm,Solar,7,1453,1,4.0,4000,2013,2038
158,Dunkeswell Airfield,Solar,7,1454,1,2.0,2000,2015,2040
159,Langenhoe Solar Farm,Solar,7,1463,1,21.3,21300,2015,2040
160,Kentishes Solar Farm ,Solar,7,1464,1,5.0,5000,2016,2041
161,Marley Thatch Solar Farm,Solar,7,1467,1,6.3,6300,2013,2038
162,Newlands Farm (East Devon),Solar,7,1468,1,5.0,5000,2013,2038
163,Goldthorpe,Solar,7,1473,1,1.5,1500,2014,2039
164,Barley Wood Farm Lane (Gaston Lane - resubmission),Solar,7,1474,1,5.4,5400,2015,2040
165,Battens Farm Solar Park,Solar,7,1476,1,11.0,11000,2014,2039
166,Combermere Abbey,Solar,7,1478,1,14.0,14000,2015,2040
167,Foxburrow Farm,Solar,7,1480,1,8.0,8000,2014,2039
168,Great Houndbeare Farm,Solar,7,1484,1,10.0,10000,2017,2042
169,Condover (Green Farm),Solar,7,1485,1,10.2,10200,2015,2040
170,Hurst Farm,Solar,7,1489,1,5.0,5000,2014,2039
171,Ikea Distribution Centre - resubmission,Solar,7,1490,1,1.7,1700,2015,2040
172,Jaguar Land Rover ,Solar,7,1491,1,5.8,5800,2014,2039
173,Leverton Ings,Solar,7,1494,1,12.0,12000,2014,2039
174,Little Morton Solar Farm,Solar,7,1497,1,14.3,14300,2014,2039
175,Lodge Farm - Orston,Solar,7,1498,1,12.4,12400,2014,2039
176,Lowther Farms,Solar,7,1500,1,1.8,1800,2014,2039
177,Mackies Dairy PV,Solar,7,1501,1,1.8,1800,2015,2040
178,Mingay Farm - extension,Solar,7,1502,1,19.3,19300,2014,2039
179,Redcourt Farm,Solar,7,1503,1,3.3,3300,2015,2040
180,Sowerby Lodge Farm,Solar,7,1506,1,5.0,5000,2018,2043
181,Stone Hill,Solar,7,1507,1,2.6,2600,2014,2039
182,Taunton Racecourse,Solar,7,1509,1,1.5,1500,2015,2040
183,The Stables,Solar,7,1510,1,1.8,1800,2014,2039
184,Vantage Point,Solar,7,1513,1,1.4,1400,2011,2036
185,Wilsom Farm,Solar,7,1515,1,11.0,11000,2016,2041
186,Woodlands Farm Solar Park,Solar,7,1516,1,10.0,10000,2015,2040
187,Bowerhouse Farm,Solar,7,1518,1,8.3,8300,2015,2040
188,Brickyard Barn (resubmission),Solar,7,1519,1,4.1,4100,2014,2039
189,Bronwylfa Reservoir,Solar,7,1520,1,3.0,3000,2015,2040
190,Land At Court Farm,Solar,7,1521,1,2.2,2200,2016,2041
191,Crapnell Farm Solar Farm,Solar,7,1522,1,5.4,5400,2014,2039
192,Danes Farm - extension,Solar,7,1525,1,10.5,10500,2016,2041
193,Ellough Airfield (Resubmission),Solar,7,1527,1,13.2,13200,2014,2039
194,Ermine Street Farm solar park,Solar,7,1528,1,32.5,32500,2014,2039
195,Eynsham Solar Farm,Solar,7,1529,1,13.2,13200,2014,2039
196,Ford Farm (Ashurst),Solar,7,1531,1,10.0,10000,2016,2041
197,Priors Byne Farm,Solar,7,1536,1,7.6,7600,2016,2041
198,Scottow Moor - RAF Coltishall Solar Farm (Phase 1),Solar,7,1537,1,32.0,32000,2015,2040
199,Owls Lodge Farm Extension,Solar,7,1538,1,5.0,5000,2013,2038
200,Hawksland Solar,Solar,7,1540,1,3.1,3100,2013,2038
