"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas"
"2013-07-08T10:30:00",4.715099678733534e-06,3.600422292986587e-06,7.2273116938121015e-06,5.817327457282113e-06,2.8309116436931995e-05,2.8309116436931995e-05,8.604621065975137e-06,1.0243596014895302e-05
"2013-07-08T11:00:00",7.3240927249271675e-06,3.753437677914038e-06,6.913865448003253e-06,5.913781534314447e-06,2.8309116436931995e-05,2.8309116436931995e-05,6.911067542811315e-06,8.22746161794068e-06
"2013-07-08T11:30:00",5.911778284901129e-06,3.5299809537811485e-06,5.6985224844390455e-06,2.0721899546047083e-06,2.8092090611117552e-05,2.8092090611117552e-05,6.5280841082250115e-06,7.77152849413539e-06
"2013-07-08T12:00:00",5.675456922952821e-06,3.3374661936662925e-06,5.049158456199338e-06,1.8360576403045043e-06,2.7957717728367275e-05,2.7957717728367275e-05,6.5280841082250115e-06,7.77152849413539e-06
"2013-07-08T12:30:00",5.8512965877439454e-06,3.2037959562208205e-06,4.381196947534488e-06,1.593162446902652e-06,2.7024013798456495e-05,2.7024013798456495e-05,6.5280841082250115e-06,7.77152849413539e-06
"2013-07-08T13:00:00",7.324695491879156e-06,3.30219274370864e-06,3.933762033733014e-06,1.430458971028413e-06,2.7024013798456495e-05,2.7024013798456495e-05,7.307838998234123e-06,8.69980828669632e-06
"2013-07-08T13:30:00",7.324695491879156e-06,3.3171364685488122e-06,3.933762033733014e-06,1.430458971028413e-06,2.7024013798456495e-05,2.7024013798456495e-05,7.307838998234123e-06,8.69980828669632e-06
"2013-07-08T14:00:00",8.590660826009494e-06,3.3171364685488122e-06,4.0032598831154876e-06,1.455730926192594e-06,2.7024013798456495e-05,2.7024013798456495e-05,1.1870862629371478e-05,1.4131979065625479e-05
"2013-07-08T14:30:00",8.459920280729146e-06,3.3171364685488122e-06,4.0032598831154876e-06,1.455730926192594e-06,2.7024013798456495e-05,2.7024013798456495e-05,1.1870862629371478e-05,1.4131979065625479e-05
"2013-07-08T15:00:00",8.980321904341653e-06,3.395707949383688e-06,4.919190274373787e-06,1.7887963839351246e-06,3.4359926263157945e-05,3.4359926263157945e-05,1.8033052773294383e-05,2.14679191555648e-05
"2013-07-08T15:30:00",9.203726831604483e-06,3.584627088797267e-06,4.927335714656828e-06,1.7917584218250107e-06,3.4359926263157945e-05,3.4359926263157945e-05,1.983010955596677e-05,2.360727390625304e-05
"2013-07-08T16:00:00",1.0194405570162074e-05,3.903548941283103e-06,5.1078838679228075e-06,1.8574123752134376e-06,3.550070577457927e-05,3.550070577457927e-05,2.5370141923010158e-05,3.020254981114276e-05
"2013-07-08T16:30:00",8.856010290410001e-06,3.6388588488529175e-06,5.0640029583432805e-06,1.8414556609525008e-06,3.6186865250258014e-05,3.6186865250258014e-05,2.6141316453869493e-05,3.112061567558697e-05
"2013-07-08T17:00:00",6.1341901109928806e-06,3.4900818466302965e-06,6.321073218163991e-06,5.398303454536024e-06,3.6345656532577474e-05,3.6345656532577474e-05,2.850704954304892e-05,3.3936963833843766e-05
"2013-07-08T17:30:00",5.083424380541084e-06,3.466597539139717e-06,7.0565516191218206e-06,5.623946793373283e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.850704954304892e-05,3.3936963833843766e-05
"2013-07-08T18:00:00",4.7478466653246185e-06,3.4636302559971665e-06,8.12094670151703e-06,6.089440674993047e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.566149297907565e-05,3.054939580732942e-05
"2013-07-08T18:30:00",4.685902853987303e-06,3.4636302559971665e-06,8.570038240951598e-06,6.089440674993047e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.566149297907565e-05,3.054939580732942e-05
"2013-07-08T19:00:00",5.4837267652156445e-06,3.4636302559971665e-06,8.385960469747032e-06,6.2262058300625635e-06,3.751505414253442e-05,3.751505414253442e-05,2.1774369109405955e-05,2.592186878410654e-05
"2013-07-08T19:30:00",5.4837267652156445e-06,3.4636302559971665e-06,8.244951468167828e-06,6.274209945340504e-06,3.680076962207049e-05,3.680076962207049e-05,2.1774369109405955e-05,2.592186878410654e-05
"2013-07-08T20:00:00",5.52725405734473e-06,3.4636302559971665e-06,6.739019758591985e-06,6.190833157408681e-06,3.524447518193539e-05,3.524447518193539e-05,1.5196194586655835e-05,1.8090707577094377e-05
"2013-07-08T20:30:00",5.52725405734473e-06,3.4636302559971665e-06,6.4088262952352724e-06,6.120450171639131e-06,3.524447518193539e-05,3.524447518193539e-05,1.5196194586655835e-05,1.8090707577094377e-05
"2013-07-08T21:00:00",4.884688313662154e-06,3.4822235839306177e-06,5.979264142782511e-06,2.174277651550537e-06,2.90921767103283e-05,2.90921767103283e-05,1.0677586006660973e-05,1.2711411691160115e-05
"2013-07-08T21:30:00",2.6690992706809413e-06,1.0265767014105682e-06,6.396469354167304e-06,6.081291737874897e-06,2.90921767103283e-05,2.90921767103283e-05,9.646555539358053e-06,1.1483994448046062e-05
"2013-07-08T22:00:00",1.918625566565076e-06,7.3793290601441e-07,5.963735135165898e-06,2.168630918505382e-06,2.5616710760246665e-05,2.5616710760246665e-05,4.289530474871359e-06,5.106584005217986e-06
"2013-07-08T22:30:00",1.245751441675857e-06,4.791351446577687e-07,5.1846940366235e-06,1.8853433456500527e-06,2.2851824433830515e-05,2.2851824433830515e-05,1.0504745096528385e-06,1.2505648546250723e-06
"2013-07-08T23:00:00",1.110129096030543e-06,4.2697271873519954e-07,4.813128205773891e-06,1.7502284781999957e-06,2.2160720433307034e-05,2.2160720433307034e-05,1.6989800921922037e-07,2.0225953003214728e-07
"2013-07-08T23:30:00",1.1436471347632587e-06,4.398642657895461e-07,4.660237395597213e-06,1.6946317504145964e-06,2.0843948707662932e-05,2.0843948707662932e-05,1.6989800921922037e-07,2.0225953003214728e-07
"2013-07-09T00:00:00",6.334770321287649e-06,4.0508845917840545e-06,5.606396177959027e-06,2.0386896185997344e-06,1.6716371965363127e-05,1.6716371965363127e-05,9.883015463397572e-07,1.1765495057606953e-06
"2013-07-09T00:30:00",6.334770321287649e-06,4.108288636940545e-06,5.606396177959027e-06,2.0386896185997344e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-09T01:00:00",6.424489056794822e-06,4.209209920825183e-06,6.716560460892859e-06,6.532165351902111e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-09T01:30:00",6.276550639341882e-06,4.220543163414863e-06,6.7189911983983045e-06,6.532165351902111e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-09T02:00:00",1.0688240863239423e-05,5.013525706434192e-06,1.1244314576012059e-05,7.279382191217927e-06,2.7524977389904426e-05,2.7524977389904426e-05,0.0,0.0
"2013-07-09T02:30:00",7.387742554693499e-06,4.394813623450629e-06,1.0500733571001279e-05,7.422518579856834e-06,2.623293703057181e-05,2.623293703057181e-05,0.0,0.0
"2013-07-09T03:00:00",8.358679910640772e-06,4.362498933099948e-06,1.0108617714422296e-05,7.05834549553296e-06,2.7045898740988897e-05,2.7045898740988897e-05,1.3618277903725933e-06,1.6212235553163986e-06
"2013-07-09T03:30:00",1.3940272162959796e-05,5.596985757575147e-06,1.0715994369294234e-05,7.3196202728222e-06,2.7045898740988897e-05,2.7045898740988897e-05,1.3618277903725933e-06,1.6212235553163986e-06
"2013-07-09T04:00:00",1.8262684689678342e-05,6.227284166589436e-06,1.3035221299935728e-05,8.738661749390015e-06,2.759534245439404e-05,2.759534245439404e-05,9.468955655193717e-06,1.1272566136030072e-05
"2013-07-09T04:30:00",1.5587056827848086e-05,5.892069248015574e-06,1.3035221299935728e-05,8.76852559543337e-06,2.759534245439404e-05,2.759534245439404e-05,1.0540500454074556e-05,1.25482144978441e-05
"2013-07-09T05:00:00",1.4562622265770338e-05,5.607751201563933e-06,1.3167928814965133e-05,8.76852559543337e-06,3.253590713337425e-05,3.253590713337425e-05,2.440827797996309e-05,2.9057473455974258e-05
